deployment_id,cpu_usage,memory_usage,latency_ms,restart_count,error_rate,deployment_status
1,67.45071229516849,85.99033154879004,159.4893035015371,2,0.19835427878377826,1
2,57.92603548243223,78.86950524369153,191.32887975706893,2,0.011674685271582004,0
3,69.71532807151038,65.89445554880261,152.45480474000232,0,0.10475688777796056,0
4,82.84544784612038,55.295948334416394,181.52230822165757,0,0.29791038144642373,1
5,56.48769937914996,75.47334970420386,86.38311998277285,2,0.06675330254405287,0
6,56.487945645762295,70.90228078132624,212.7976224423763,1,0.24323477124266477,0
7,83.68819223261087,78.42789830041599,200.07232852173345,1,0.11156107431452734,1
8,71.51152093729362,74.52757702522955,150.97468213590855,3,0.3853337979357022,1
9,52.95788421097572,80.74329072979003,239.5547401059443,1,0.12823225258702578,0
10,68.13840065378947,56.97147182659148,256.2542082575935,1,0.07859190108803571,0
11,53.04873460781307,84.76091098451488,103.54640813786155,0,0.05705428171216735,0
12,53.01405369644615,67.963994070386,154.23651328602716,1,0.2695258185601017,1
13,63.629434073490515,96.12891308937898,153.85145901276212,1,0.062062017882994,1
14,31.300796330133032,54.66218272865648,143.6058139334681,2,0.17891796722241812,0
15,34.12623251230451,91.03945704747875,249.76849051590492,1,0.6067589266612549,1
16,51.56568706138541,67.96866175193972,188.3704316736318,1,0.10786974434127689,0
17,44.80753319498364,55.22872994578327,184.12910952136335,0,0.465991981925832,1
18,64.71370998892911,57.741712489185176,79.76825813559479,3,0.28072269780613307,1
19,46.37963886718184,60.1947903770852,238.1250818125536,1,0.19183177849804858,0
20,38.81544447997062,71.36248919602875,125.64449630879164,0,0.12561268198486947,0
21,81.98473153382331,72.8425323205325,203.5959578159797,3,0.20598192642308796,1
22,56.61335549270196,56.394499940921314,216.6426162774915,0,0.030808414138777586,0
23,61.012923070318855,64.63468111608526,281.63951575031905,1,0.07863496671028525,0
24,38.62877720679815,97.13405537917795,121.47077605285328,3,0.10950890081647029,1
25,51.834259132122256,90.91314755151066,50.0,1,0.35164453589729244,1
26,61.663838845647994,71.54485504511048,211.03097268522168,2,0.29720467348720875,1
27,42.73509633866546,65.570052172523,308.0306708906512,1,0.324946524966274,1
28,65.63547027518509,66.80046990077392,274.33678117636623,0,0.04642076714040357,0
29,50.99041965121793,74.20276959095625,212.57956491647755,0,0.11636375884683257,0
30,55.62459375310085,49.658111522023916,170.50182886207716,1,0.3709119562486651,1
